"SKU","TITLE","CATEGORY_IDS","PRICE","SPECIAL_PRICE","IMAGE_URL","UNITS","UNIT_SCALE","UNIT_SIZE","UNITS_PER_CASE","STOCK","MAX_QTY","MIN_QTY","SHORT_DESCRIPTION","DESCRIPTION","BRAND","BARCODES","PROMOTED","BADGE_ONE","KEYWORDS"
"106RED","WYLEX 45A Metal Clad 1 Way Unit / Switch Fuse RED","","47.78","","/106RED.jpg",,,,"","7.000","7.000",,"",,,"5013601006031","0",,""
"10G2M","10 WAY 13A EXTENSION LEAD WITH 2M LEAD","1|2","","","/10G2M.jpg",,,,"","19.000","19.000",,"",,,"5055136525267|5060038165206","0",,""
"10GTOWER","10 GANG EXTENSION SOCKET / TOWER WITH 2M LEAD","1|2|3","22.79","","/10GTOWER.jpg","12",,,"12","7.000","7.000",,"",,,"5055559192329","0",,""
"1130SS","Wall & Step Light","","19.20","","/1130SS.jpg",,,,"","5.000","5.000",,"",,,"null","0",,""
"120PVABOTT","PVA GLUE 120ML BOTTLE ""ULTRA""","","3.00","","/120PVABOTT.jpg","48",,,"48","18.000","18.000",,"",,,"5027785814122","0",,""
"123DURB2","Duracell Ultra Lithium CR123A (CR17345)x2","","9.24","","/123DURB2.jpg","10",,,"10","15.000","15.000",,"",,"V15","5000394020320","0",,""
"13801","GRAHAM GREEN DOWNTON HALF ROUND WALL SCONCE","1","","","/13801.jpg",,,,"","2.000","2.000",,"",,,"null","0",,""
"140320","VENTAXIA VA140/150 KHP FAN BOXED, 140320","","345.96","","/140320.jpg",,,,"","19.000","19.000",,"",,"DOM","5015135488451","0",,""
"140420","VENTAXIA VA140/150KHT FAN BOXED, 140420","","379.37","","/140420.jpg",,,,"","1.000","1.000",,"",,"DOM","5015135488468","0",,""
"140902","VENTAXIA VA140/150 WALL KIT WHITE, 140902","","51.22","","/140902.jpg",,,,"","4.000","4.000",,"",,"DOM","5015135270926","0",,""
